"","Refactoring","cbeanutils","ccli","ccollections","cio","clang","cmath","jodaconvert","jodatime","sudoku"
"1","extractmethod",0.537,0.191333333333333,0.411666666666667,0.339,1.138,0.947333333333333,0.287333333333333,0.563333333333333,0.243333333333333
"2","extractvariable",0.458,0,1.23066666666667,0.262666666666667,0.992,0.629666666666667,0,0.388444444444444,0
"3","inline",0.789333333333333,0.325,0.695,1.62766666666667,0.284666666666667,3.85166666666667,0.378,0.533666666666667,0.148666666666667
"4","introduceindirection",1.287,0.228,2.82133333333333,0.142666666666667,3.57966666666667,1.444,0.358333333333333,1.99266666666667,0.241333333333333
"5","introducepo",0.217,0.116666666666667,0.143333333333333,0.270666666666667,0.0693333333333333,0.491666666666667,0.009,1.13766666666667,0.00933333333333333
"6","variabletofield",0.107333333333333,0.246666666666667,0.711,0.513666666666667,0.204,0.242666666666667,0.266,0.617333333333333,0.119333333333333
