System,Refactoring,Refactoring Number,totalNewFiles,totalNewVolumeInMonths,totalNewVolumeInLoc
jodaconvert,extractvariable,3,0,0,0
jodaconvert,extractvariable,4,0,0,0
jodaconvert,inline,1,1,0.192,144
jodaconvert,inline,2,4,2.897333333,2173
jodaconvert,inline,3,1,0.304,228
jodaconvert,inline,4,5,3.117333333,2338
jodaconvert,introduceindirection,1,1,0.1,75
jodaconvert,introduceindirection,2,1,0.110666667,83
jodaconvert,introduceindirection,3,1,0.238666667,179
jodaconvert,introduceindirection,4,6,0.121333333,91
jodaconvert,introducepo,1,2,0.113333333,85
jodaconvert,introducepo,2,3,0.442666667,332
jodaconvert,introducepo,3,2,0.517333333,388
jodaconvert,introducepo,4,1,0.009333333,7
jodaconvert,variabletofield,1,1,0.177333333,133
jodaconvert,variabletofield,2,1,0.24,180
jodaconvert,variabletofield,3,1,0.101333333,76
jodaconvert,variabletofield,4,1,1.536,1152
jodatime,extractmethod,1,1,1.46,1095
jodatime,extractmethod,2,1,0.298666667,224
jodatime,extractmethod,3,0,0,0
jodatime,extractmethod,4,1,2.030666667,1523
jodatime,extractvariable,1,1,0.106666667,80
jodatime,extractvariable,2,1,2.025333333,1519
jodatime,extractvariable,3,1,0.161333333,121
jodatime,extractvariable,4,1,0.225333333,169
jodatime,inline,1,1,0.189333333,142
jodatime,inline,2,12,2.490666667,1868
jodatime,inline,3,43,12.42133333,9316
jodatime,inline,4,1,0.305333333,229
jodatime,introduceindirection,1,4,0.86,645
jodatime,introduceindirection,2,15,3.486666667,2615
jodatime,introduceindirection,3,3,1.136,852
jodatime,introduceindirection,4,1,0.293333333,220
jodatime,introducepo,1,3,0.376,282
jodatime,introducepo,2,6,1.052,789
jodatime,introducepo,3,2,0.24,180
jodatime,introducepo,4,3,0.298666667,224
jodatime,variabletofield,1,0,0,0
jodatime,variabletofield,2,1,0.664,498
jodatime,variabletofield,3,1,0.256,192
jodatime,variabletofield,4,1,0.050666667,38
sudoku,extractmethod,1,1,0.589333333,442
sudoku,extractmethod,2,1,0.553333333,415
sudoku,extractmethod,3,1,0.868,651
sudoku,extractmethod,4,1,0.242666667,182
sudoku,extractvariable,1,1,0.216,162
sudoku,extractvariable,2,1,0.474666667,356
sudoku,extractvariable,3,1,0.474666667,356
sudoku,extractvariable,4,0,0,0
sudoku,inline,1,1,0.366666667,275
sudoku,inline,2,2,0.378666667,284
sudoku,inline,3,1,0.484,363
sudoku,inline,4,1,0.905333333,679
sudoku,introduceindirection,1,5,3.490666667,2618
sudoku,introduceindirection,2,3,1.409333333,1057
sudoku,introduceindirection,3,3,2.309333333,1732
sudoku,introduceindirection,4,7,0.761333333,571
sudoku,introducepo,1,7,1.950666667,1463
sudoku,introducepo,2,3,0.644,483
sudoku,introducepo,3,4,1.956,1467
sudoku,introducepo,4,0,0,0
sudoku,variabletofield,1,1,0.416,312
sudoku,variabletofield,2,1,1.230666667,923
sudoku,variabletofield,3,1,0.348,261
sudoku,variabletofield,4,1,0.474666667,356
